 נתונים היסטוריים  - תוך יומי ת"א-35,,,
נכון ל- 05/08/2018 16:24:18
שעה,מדד אחרון,שלב מסחר,שינוי (%)
16:24:18,1604.70,ק,1.69
16:14:47,1603.62,,1.62
16:14:32,1603.66,,1.63
16:14:17,1603.64,,1.62
16:14:02,1603.77,,1.63
16:13:47,1603.76,,1.63
16:13:32,1603.78,,1.63
16:13:17,1603.71,,1.63
16:13:02,1603.70,,1.63
16:12:47,1603.66,,1.63
16:12:32,1603.73,,1.63
16:12:17,1603.78,,1.63
16:12:02,1603.91,,1.64
16:11:47,1604.07,,1.65
16:11:32,1604.03,,1.65
16:11:17,1603.98,,1.65
16:11:02,1604.04,,1.65
16:10:47,1603.98,,1.65
16:10:32,1603.87,,1.64
16:10:17,1603.83,,1.64
16:10:02,1603.83,,1.64
16:09:47,1603.79,,1.63
16:09:32,1603.71,,1.63
16:09:17,1603.80,,1.63
16:09:02,1603.76,,1.63
16:08:47,1603.78,,1.63
16:08:32,1603.82,,1.64
16:08:17,1603.75,,1.63
16:08:02,1603.85,,1.64
16:07:47,1603.71,,1.63
16:07:32,1603.69,,1.63
16:07:17,1603.71,,1.63
16:07:02,1604.55,,1.68
16:06:47,1604.56,,1.68
16:06:32,1604.53,,1.68
16:06:17,1604.52,,1.68
16:06:02,1604.52,,1.68
16:05:47,1604.40,,1.67
16:05:32,1604.52,,1.68
16:05:17,1604.69,,1.69
16:05:02,1604.91,,1.71
16:04:47,1604.87,,1.70
16:04:32,1604.84,,1.70
16:04:17,1604.84,,1.70
16:04:02,1604.88,,1.70
16:03:47,1604.73,,1.69
16:03:32,1604.73,,1.69
16:03:17,1604.75,,1.70
16:03:02,1604.63,,1.69
16:02:47,1604.49,,1.68
16:02:32,1604.50,,1.68
16:02:17,1604.56,,1.68
16:02:02,1604.59,,1.69
16:01:47,1604.69,,1.69
16:01:32,1604.54,,1.68
16:01:17,1604.60,,1.69
16:01:02,1604.88,,1.70
16:00:47,1604.42,,1.67
16:00:32,1604.41,,1.67
16:00:17,1604.34,,1.67
16:00:02,1604.45,,1.68
15:59:47,1604.35,,1.67
15:59:32,1604.35,,1.67
15:59:17,1604.35,,1.67
15:59:02,1604.33,,1.67
15:58:47,1604.26,,1.66
15:58:32,1604.37,,1.67
15:58:17,1604.34,,1.67
15:58:02,1604.31,,1.67
15:57:47,1604.31,,1.67
15:57:32,1604.30,,1.67
15:57:17,1604.18,,1.66
15:57:02,1604.39,,1.67
15:56:47,1604.59,,1.69
15:56:32,1604.60,,1.69
15:56:17,1604.60,,1.69
15:56:02,1603.91,,1.64
15:55:47,1603.93,,1.64
15:55:32,1603.93,,1.64
15:55:17,1603.83,,1.64
15:55:02,1603.89,,1.64
15:54:47,1603.94,,1.64
15:54:32,1603.93,,1.64
15:54:17,1603.98,,1.65
15:54:02,1603.78,,1.63
15:53:47,1603.93,,1.64
15:53:32,1604.01,,1.65
15:53:17,1603.98,,1.65
15:53:02,1604.21,,1.66
15:52:47,1604.25,,1.66
15:52:32,1604.45,,1.68
15:52:17,1604.44,,1.68
15:52:02,1604.33,,1.67
15:51:47,1604.28,,1.67
15:51:32,1604.29,,1.67
15:51:17,1604.37,,1.67
15:51:02,1604.30,,1.67
15:50:47,1604.38,,1.67
15:50:32,1604.51,,1.68
15:50:17,1604.56,,1.68
15:50:02,1604.72,,1.69
15:49:47,1605.00,,1.71
15:49:32,1605.11,,1.72
15:49:17,1605.20,,1.72
15:49:02,1605.25,,1.73
15:48:47,1605.43,,1.74
15:48:32,1605.63,,1.75
15:48:17,1605.52,,1.74
15:48:02,1605.70,,1.76
15:47:47,1605.79,,1.76
15:47:32,1605.79,,1.76
15:47:17,1605.85,,1.76
15:47:02,1605.85,,1.76
15:46:47,1605.87,,1.77
15:46:32,1606.09,,1.78
15:46:17,1606.13,,1.78
15:46:02,1606.19,,1.79
15:45:47,1606.33,,1.80
15:45:32,1606.33,,1.80
15:45:17,1605.58,,1.75
15:45:02,1605.58,,1.75
15:44:47,1605.67,,1.75
15:44:32,1605.74,,1.76
15:44:17,1605.75,,1.76
15:44:02,1605.79,,1.76
15:43:47,1605.85,,1.76
15:43:32,1605.96,,1.77
15:43:17,1605.92,,1.77
15:43:02,1606.02,,1.78
15:42:47,1605.79,,1.76
15:42:32,1605.79,,1.76
15:42:17,1605.88,,1.77
15:42:02,1605.93,,1.77
15:41:47,1605.93,,1.77
15:41:32,1606.03,,1.78
15:41:17,1606.03,,1.78
15:41:02,1606.02,,1.78
15:40:47,1606.10,,1.78
15:40:32,1606.10,,1.78
15:40:17,1606.18,,1.79
15:40:02,1605.68,,1.75
15:39:47,1605.76,,1.76
15:39:32,1605.80,,1.76
15:39:17,1605.99,,1.77
15:39:02,1606.04,,1.78
15:38:47,1606.17,,1.79
15:38:32,1606.25,,1.79
15:38:17,1605.18,,1.72
15:38:02,1605.18,,1.72
15:37:47,1605.23,,1.73
15:37:32,1605.10,,1.72
15:37:17,1605.08,,1.72
15:37:02,1605.16,,1.72
15:36:47,1605.12,,1.72
15:36:32,1605.13,,1.72
15:36:17,1605.09,,1.72
15:36:02,1605.18,,1.72
15:35:47,1605.12,,1.72
15:35:32,1605.18,,1.72
15:35:17,1605.33,,1.73
15:35:02,1605.30,,1.73
15:34:47,1605.31,,1.73
15:34:32,1605.35,,1.73
15:34:17,1605.35,,1.73
15:34:02,1605.35,,1.73
15:33:47,1605.48,,1.74
15:33:32,1605.53,,1.74
15:33:17,1605.62,,1.75
15:33:02,1605.62,,1.75
15:32:47,1605.59,,1.75
15:32:32,1605.59,,1.75
15:32:17,1605.64,,1.75
15:32:02,1605.68,,1.75
15:31:47,1605.70,,1.76
15:31:32,1605.84,,1.76
15:31:17,1605.89,,1.77
15:31:02,1605.93,,1.77
15:30:47,1605.99,,1.77
15:30:32,1605.99,,1.77
15:30:17,1606.08,,1.78
15:30:02,1605.96,,1.77
15:29:47,1605.92,,1.77
15:29:32,1605.98,,1.77
15:29:17,1605.98,,1.77
15:29:02,1605.87,,1.77
15:28:47,1605.88,,1.77
15:28:32,1605.83,,1.76
15:28:17,1605.86,,1.77
15:28:02,1605.85,,1.76
15:27:47,1605.85,,1.76
15:27:32,1605.87,,1.77
15:27:17,1605.79,,1.76
15:27:02,1605.94,,1.77
15:26:47,1605.93,,1.77
15:26:32,1605.94,,1.77
15:26:17,1606.07,,1.78
15:26:02,1606.11,,1.78
15:25:47,1606.25,,1.79
15:25:32,1606.38,,1.80
15:25:17,1606.38,,1.80
15:25:02,1606.35,,1.80
15:24:47,1606.42,,1.80
15:24:32,1606.43,,1.80
15:24:17,1606.34,,1.80
15:24:02,1606.32,,1.79
15:23:47,1606.37,,1.80
15:23:32,1606.31,,1.79
15:23:17,1606.24,,1.79
15:23:02,1606.14,,1.78
15:22:47,1606.18,,1.79
15:22:32,1606.17,,1.79
15:22:17,1606.12,,1.78
15:22:02,1606.30,,1.79
15:21:47,1606.29,,1.79
15:21:32,1606.41,,1.80
15:21:17,1606.49,,1.81
15:21:02,1606.73,,1.82
15:20:47,1606.67,,1.82
15:20:32,1606.59,,1.81
15:20:17,1606.65,,1.82
15:20:02,1606.65,,1.82
15:19:47,1606.67,,1.82
15:19:32,1606.69,,1.82
15:19:17,1606.70,,1.82
15:19:02,1606.89,,1.83
15:18:47,1606.86,,1.83
15:18:32,1606.96,,1.84
15:18:17,1607.03,,1.84
15:18:02,1607.09,,1.84
15:17:47,1606.96,,1.84
15:17:32,1607.20,,1.85
15:17:17,1607.15,,1.85
15:17:02,1607.05,,1.84
15:16:47,1607.14,,1.85
