 נתונים היסטוריים  - תוך יומי ת"א-35,,,
נכון ל- 16/08/2018 17:24:02
שעה,מדד אחרון,שלב מסחר,שינוי (%)
17:24:02,1582.79,ק,1.15
17:14:44,1582.92,,1.16
17:14:29,1582.97,,1.16
17:14:14,1582.95,,1.16
17:13:59,1582.92,,1.16
17:13:44,1582.87,,1.16
17:13:29,1582.47,,1.13
17:13:14,1582.66,,1.14
17:12:59,1582.37,,1.12
17:12:44,1582.57,,1.14
17:12:29,1582.66,,1.14
17:12:14,1582.63,,1.14
17:11:59,1582.26,,1.12
17:11:44,1582.37,,1.12
17:11:29,1582.43,,1.13
17:11:14,1582.55,,1.14
17:10:59,1582.38,,1.12
17:10:44,1582.51,,1.13
17:10:29,1582.53,,1.13
17:10:14,1582.60,,1.14
17:09:59,1582.63,,1.14
17:09:44,1582.59,,1.14
17:09:29,1582.50,,1.13
17:09:14,1582.62,,1.14
17:08:59,1582.82,,1.15
17:08:44,1582.87,,1.16
17:08:29,1582.83,,1.15
17:08:14,1583.18,,1.18
17:07:59,1583.20,,1.18
17:07:44,1583.36,,1.19
17:07:29,1583.65,,1.21
17:07:14,1584.14,,1.24
17:06:59,1584.19,,1.24
17:06:44,1584.10,,1.23
17:06:29,1584.03,,1.23
17:06:14,1583.61,,1.20
17:05:59,1583.57,,1.20
17:05:44,1583.66,,1.21
17:05:29,1583.88,,1.22
17:05:14,1583.73,,1.21
17:04:59,1584.08,,1.23
17:04:44,1584.02,,1.23
17:04:29,1584.12,,1.24
17:04:14,1584.19,,1.24
17:03:59,1584.27,,1.25
17:03:44,1584.72,,1.27
17:03:29,1584.57,,1.26
17:03:14,1584.25,,1.24
17:02:59,1584.09,,1.23
17:02:44,1584.06,,1.23
17:02:29,1583.71,,1.21
17:02:14,1582.67,,1.14
17:01:59,1582.36,,1.12
17:01:44,1582.21,,1.11
17:01:29,1582.34,,1.12
17:01:14,1581.50,,1.07
17:00:59,1580.91,,1.03
17:00:44,1580.07,,0.98
17:00:29,1579.68,,0.95
17:00:14,1579.47,,0.94
16:59:59,1579.35,,0.93
16:59:44,1579.24,,0.92
16:59:29,1579.35,,0.93
16:59:14,1579.29,,0.93
16:58:59,1579.29,,0.93
16:58:44,1579.41,,0.93
16:58:29,1579.23,,0.92
16:58:14,1579.50,,0.94
16:57:59,1579.60,,0.95
16:57:44,1579.85,,0.96
16:57:29,1579.77,,0.96
16:57:14,1579.77,,0.96
16:56:59,1579.64,,0.95
16:56:44,1579.67,,0.95
16:56:29,1579.45,,0.94
16:56:14,1579.40,,0.93
16:55:59,1579.18,,0.92
16:55:44,1579.43,,0.94
16:55:29,1579.74,,0.96
16:55:14,1579.76,,0.96
16:54:59,1579.68,,0.95
16:54:44,1579.65,,0.95
16:54:29,1579.40,,0.93
16:54:14,1579.12,,0.92
16:53:59,1579.18,,0.92
16:53:44,1578.89,,0.90
16:53:29,1578.80,,0.90
16:53:14,1578.79,,0.90
16:52:59,1579.14,,0.92
16:52:44,1579.00,,0.91
16:52:29,1579.01,,0.91
16:52:14,1578.96,,0.91
16:51:59,1579.16,,0.92
16:51:44,1578.92,,0.90
16:51:29,1578.88,,0.90
16:51:14,1578.70,,0.89
16:50:59,1578.31,,0.86
16:50:44,1577.71,,0.83
16:50:29,1577.74,,0.83
16:50:14,1577.78,,0.83
16:49:59,1577.77,,0.83
16:49:44,1577.80,,0.83
16:49:29,1577.64,,0.82
16:49:14,1577.73,,0.83
16:48:59,1577.77,,0.83
16:48:44,1577.44,,0.81
16:48:29,1577.39,,0.81
16:48:14,1577.49,,0.81
16:47:59,1577.39,,0.81
16:47:44,1577.31,,0.80
16:47:29,1577.23,,0.80
16:47:14,1577.21,,0.79
16:46:59,1577.06,,0.78
16:46:44,1576.94,,0.78
16:46:29,1576.91,,0.78
16:46:14,1577.10,,0.79
16:45:59,1577.04,,0.78
16:45:44,1576.97,,0.78
16:45:29,1576.70,,0.76
16:45:14,1576.74,,0.76
16:44:59,1576.48,,0.75
16:44:44,1576.41,,0.74
16:44:29,1576.71,,0.76
16:44:14,1576.81,,0.77
16:43:59,1577.01,,0.78
16:43:44,1577.10,,0.79
16:43:29,1577.04,,0.78
16:43:14,1577.04,,0.78
16:42:59,1577.00,,0.78
16:42:44,1576.97,,0.78
16:42:29,1577.06,,0.78
16:42:14,1576.96,,0.78
16:41:59,1576.86,,0.77
16:41:44,1576.63,,0.76
16:41:29,1576.99,,0.78
16:41:14,1576.86,,0.77
16:40:59,1576.90,,0.77
16:40:44,1576.89,,0.77
16:40:29,1576.52,,0.75
16:40:14,1576.37,,0.74
16:39:59,1576.45,,0.75
16:39:44,1575.91,,0.71
16:39:29,1576.00,,0.72
16:39:14,1575.82,,0.71
16:38:59,1576.03,,0.72
16:38:44,1576.59,,0.75
16:38:29,1576.75,,0.76
16:38:14,1576.56,,0.75
16:37:59,1577.23,,0.80
16:37:44,1577.04,,0.78
16:37:29,1577.12,,0.79
16:37:14,1577.13,,0.79
16:36:59,1577.04,,0.78
16:36:44,1577.17,,0.79
16:36:29,1576.74,,0.76
16:36:14,1577.22,,0.79
16:35:59,1577.76,,0.83
16:35:44,1577.73,,0.83
16:35:29,1577.77,,0.83
16:35:14,1577.68,,0.82
16:34:59,1577.69,,0.83
16:34:44,1577.66,,0.82
16:34:29,1577.72,,0.83
16:34:14,1577.70,,0.83
16:33:59,1577.65,,0.82
16:33:44,1577.70,,0.83
16:33:29,1577.52,,0.81
16:33:14,1577.49,,0.81
16:32:59,1577.23,,0.80
16:32:44,1577.12,,0.79
16:32:29,1577.16,,0.79
16:32:14,1577.25,,0.80
16:31:59,1577.35,,0.80
16:31:44,1577.45,,0.81
16:31:29,1577.48,,0.81
16:31:14,1577.49,,0.81
16:30:59,1577.58,,0.82
16:30:44,1577.36,,0.80
16:30:29,1577.20,,0.79
16:30:14,1577.64,,0.82
16:29:59,1577.79,,0.83
16:29:44,1577.97,,0.84
16:29:29,1578.05,,0.85
16:29:14,1578.11,,0.85
16:28:59,1577.84,,0.83
16:28:44,1577.91,,0.84
16:28:29,1577.80,,0.83
